Namespace(alpha=0.0, batch_size=1024, dataset=0, dropout_ration=0.2, gpu=1, learning_rate=0.001, n_layers=1, temperature=0.7, v=0, weight_1=0.166667, weight_2=0.666667, weight_3=0.166667, weight_4=0.0, weight_L2=0.0001, weight_boundary=0.01, weight_negative=0.5, weight_ssl=1.0)
2024-11-13 07:30:42.614 | INFO     | __main__:<module>:169 - data aleady
2024-11-13 08:06:13.978 | INFO     | __main__:<module>:196 -  view_cart_buy : Epoch [230/500]
2024-11-13 08:06:33.360 | INFO     | __main__:<module>:243 -  view_cart_buy | HR@10:0.2482, HR@20:0.3116, HR@100:0.4265, HR@200:0.4549
2024-11-13 08:06:33.360 | INFO     | __main__:<module>:246 -  view_cart_buy | NDCG@10:0.1461, NDCG@20:0.1621, NDCG@100:0.1836, NDCG@200:0.1876
2024-11-13 08:08:10.388 | INFO     | __main__:<module>:196 -  view_cart_buy : Epoch [240/500]
2024-11-13 08:08:31.232 | INFO     | __main__:<module>:243 -  view_cart_buy | HR@10:0.2510, HR@20:0.3136, HR@100:0.4254, HR@200:0.4522
2024-11-13 08:08:31.233 | INFO     | __main__:<module>:246 -  view_cart_buy | NDCG@10:0.1474, NDCG@20:0.1632, NDCG@100:0.1841, NDCG@200:0.1878
2024-11-13 08:09:55.746 | INFO     | __main__:<module>:196 -  view_cart_buy : Epoch [250/500]
2024-11-13 08:10:14.948 | INFO     | __main__:<module>:243 -  view_cart_buy | HR@10:0.2541, HR@20:0.3146, HR@100:0.4249, HR@200:0.4532
2024-11-13 08:10:14.948 | INFO     | __main__:<module>:246 -  view_cart_buy | NDCG@10:0.1497, NDCG@20:0.1650, NDCG@100:0.1856, NDCG@200:0.1896
2024-11-13 08:11:29.489 | INFO     | __main__:<module>:196 -  view_cart_buy : Epoch [260/500]
2024-11-13 08:11:49.404 | INFO     | __main__:<module>:243 -  view_cart_buy | HR@10:0.2556, HR@20:0.3150, HR@100:0.4228, HR@200:0.4522
