Namespace(alpha=0.0, batch_size=1024, dataset=1, dropout_ration=0.2, gpu=1, learning_rate=0.001, n_layers=1, temperature=0.7, v=0, weight_1=0.166667, weight_2=0.666667, weight_3=0.166667, weight_4=0.0, weight_L2=0.0001, weight_boundary=1.0, weight_negative=0.1, weight_ssl=0.1)
2024-11-13 07:28:32.126 | INFO     | __main__:<module>:169 - data aleady
2024-11-13 08:02:48.003 | INFO     | __main__:<module>:196 -  view_cart_buy : Epoch [120/500]
2024-11-13 08:06:35.535 | INFO     | __main__:<module>:243 -  view_cart_buy | HR@10:0.1638, HR@20:0.1853, HR@100:0.2104, HR@200:0.2148
2024-11-13 08:06:35.535 | INFO     | __main__:<module>:246 -  view_cart_buy | NDCG@10:0.1072, NDCG@20:0.1127, NDCG@100:0.1175, NDCG@200:0.1181
2024-11-13 08:09:13.909 | INFO     | __main__:<module>:196 -  view_cart_buy : Epoch [130/500]
2024-11-13 08:13:06.990 | INFO     | __main__:<module>:243 -  view_cart_buy | HR@10:0.1653, HR@20:0.1850, HR@100:0.2067, HR@200:0.2108
2024-11-13 08:13:06.991 | INFO     | __main__:<module>:246 -  view_cart_buy | NDCG@10:0.1085, NDCG@20:0.1135, NDCG@100:0.1176, NDCG@200:0.1182
2024-11-13 08:15:52.797 | INFO     | __main__:<module>:196 -  view_cart_buy : Epoch [140/500]
2024-11-13 08:19:42.994 | INFO     | __main__:<module>:243 -  view_cart_buy | HR@10:0.1654, HR@20:0.1833, HR@100:0.2043, HR@200:0.2083
2024-11-13 08:19:42.994 | INFO     | __main__:<module>:246 -  view_cart_buy | NDCG@10:0.1091, NDCG@20:0.1136, NDCG@100:0.1177, NDCG@200:0.1182
2024-11-13 08:22:20.645 | INFO     | __main__:<module>:196 -  view_cart_buy : Epoch [150/500]
2024-11-13 08:26:10.064 | INFO     | __main__:<module>:243 -  view_cart_buy | HR@10:0.1656, HR@20:0.1834, HR@100:0.2048, HR@200:0.2088
2024-11-13 08:26:10.064 | INFO     | __main__:<module>:246 -  view_cart_buy | NDCG@10:0.1096, NDCG@20:0.1141, NDCG@100:0.1182, NDCG@200:0.1188
2024-11-13 08:28:49.950 | INFO     | __main__:<module>:196 -  view_cart_buy : Epoch [160/500]
2024-11-13 08:32:41.818 | INFO     | __main__:<module>:243 -  view_cart_buy | HR@10:0.1661, HR@20:0.1839, HR@100:0.2066, HR@200:0.2111
